"","weight","weight_all_sample","weight_2areas_sample","Area_Urban_Rural","Livelihood_edit","Domain","unique_number","ID","@4Comunidadesituadacosta","@3Districto","@1NomedoEnumerador","@1_1numeroequipa","@2dataquestionario","@5.Community.code.clean","@5CódigodaComunidade","@6NúmerodoAF","@7NúmerodoQuestionário","@15Códigodooperador","@16Observações","@1_8","@1_9","@1_10","@1_10_range","@1_11","@1_11_range","@1_12","@1_13","@1_13_range","@1_14","@2_1","@2_2","@2_3","@2_4","@2_61A","@2_62A","@2_63A","@2_61B","@2_62B","@2_63B","@2_61C","@2_62C","@2_63C","@2_61D","@2_62D","@2_63D","@2_61E","@2_62E","@2_63E","@2_61F","@2_62F","@2_63F","@2_61G","@2_62G","@2_63G","@2_61H","@2_62H","@2_63H","@2_8","@2_9","@2_10A","@2_10B","@2_10C","@2_10D","@2_10E","@2_10F","@2_10G","@2_10H","@2_10I","@2_11","@2_12","@2_13","@2_14","@2_15","@2_17","@2_18","@2_19","@2_20","@2_21","@2_22","@2_23","@2_24","@2_24a","@2_24b","@2_25","@2_26","@2_27","@2_27B","@2_28","@2_29a","@2_29b","@2_29c","@2_29d","@2_29e","@2_29f","@2_30","@2_31","@2_31a","@2_31b","@2_31c","@2_31d","@2_32","@2_33","@2_33a","@2_34","@2_35","@2_35aA","@2_35bA","@2_35aB","@2_35bB","@2_35aC","@2_35bC","@2_35aD","@2_35bD","@2_35aE","@2_35bE","@2_35aF","@2_35bF","@2_36","@2_37","@3_1A","@3_1B","@3_1C","@3_1D","@3_1E","@3_1F","@3_1G","@3_1H","@3_1I","@3_1J","@3_1K","@3_1L","@3_1M","@3_1N","@3_1O","@3_1P","@3_1Q","@3_1R","@3_1S","@3_1T","@3_1U","@3_1V","@3_1W","@3_1X","@3_1Y","@3_1Z","@3_1AA","@3_2A","@3_2B","@3_3A","@3_3B","@3_3C","@3_3D","@3_3E","@3_3F","@3_4","@3_5","@3_6","@4_1","@4_2","@4_3","@4_4","@4_51","@4_52","@4_53","@4_54","@4_55","@4_6","@4_7","@4_8","@6_1","@6_2A","@6_2B","@6_2C","@6_3","@6_4A","@6_4B","@6_4C","@6_5","@7_1","@7_2","@7_3","@7_4A","@7_4B","@7_4C","@7_4D","@7_4E1","@7_4E2","@7_4E3","@7_4F","@7_4G","@7_4H","@7_4I","@7_4J","@7_4K","@7_4L","@7_4M","@7_4N","@7_4O","@7_4P","@7_4Q","@7_4R","@7_4S","@7_4T","@7_4U","@7_4V","@7_4X","@8_1","@8_2","@8_3","@8_4","@8_5","@8_6","@8_4B","@8_5B","@8_6B","@8_4C","@8_5C","@8_6C","@9_01","@9_02","@9_03","@9_04","@9_05","@9_06","@9_07","@9_08","@9_09","@9_10A","@9_10B","@9_10C","@9_10D","@9_11","@9_12","@9_13","@9_14","@9_15","@9_16","@9_17","@9_18","@9_19","@9_20","@9_21","@9_22","@9_23","@9_25","@9_26","@9_27","@9_28","@9_29","@9_30","@10_1","@10_2A","@10_2B","@10_2C","@10_2D","@10_2E","@10_2F","@10_2G","@10_2H","@10_2I","@10_2J","@10_2K","@10_2L","@10_2M","@10_2N","@10_2O","@10_2P","@10_2Q","@10_2R","@10_2S","@10_2T","@10_2U","@10_2V","@10_2X"
"1",0.969697,1.077561245795,0.969697,2,6,3,154,143,0,"Pebane","ADONES",4,2008-08-14,41610,41610,1,1142,1000,"",0,0,1,0,3,0,NA,NA,NA,0,1,0,2,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,NA,0,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,2,NA,"",2,NA,2,1,12,1,13,1,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,3,3,4,2,2,1,2,4,88,88,88,88,2,2,2,NA,NA,NA,NA,2,0,0,0,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1.066667,1.185317703745,1.066667,2,6,3,1048,37,0,"Angoche","gilda",5,2008-08-18,301117,301117,8,537,500,"",0,0,1,0,1,1,1,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,"",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,2,2,4,2,2,8,2,1,88,88,88,88,2,2,2,NA,NA,NA,NA,2,0,0,0,NA,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,2,1,3,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1.391304,1.519103620224,1.608567250032,1,5,2,1427,129,0,"Moma","pedro",3,2008-08-16,31103,31103,3,5129,500,"",1,0,1,0,1,1,1,1,0,0,1,0,2,3,4,14,1,0,NA,NA,0,NA,NA,0,NA,NA,17,14,1,0,NA,NA,10,15,1,1,15,1,2,2,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,2,1,1,2,NA,0,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,2,NA,"",2,1,2,2,4,2,12,3,13,3,NA,NA,NA,NA,2,2,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,4,4,1,2,1,2,2,1,20,88,88,88,2,2,2,0,NA,NA,NA,2,0,0,0,NA,2,2,NA,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,50,1,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"4",1.066667,0.850036532303,0.900098414614,1,5,1,1215,108,0,"Moma","machude",2,2008-08-15,31114,31114,7,2604,2500,"",1,0,1,0,1,1,1,1,0,0,2,1,2,1,3,14,2,2,14,2,0,NA,NA,0,NA,NA,0,NA,NA,3,16,1,0,NA,NA,2,16,1,2,2,3,10,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,NA,0,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,2,NA,"",2,1,1,3,3,1,5,1,12,2,13,1,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,9,8,0,3,0,0,0,0,7,6,4,1,1,1,2,20,1,88,88,88,1,1,2,1,7,NA,NA,2,0,0,0,NA,NA,NA,NA,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"5",1.142857,0.910753029013,0.964390736594,1,6,1,189,88,0,"Moma","pedro",3,2008-08-19,31111,31111,7,2088,2000,"",1,0,1,0,3,0,NA,NA,NA,0,2,0,2,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,16,1,0,NA,NA,0,NA,NA,0,NA,NA,2,2,3,0,0,0,0,0,0,0,0,1,1,3,1,2,2,2,2,2,2,NA,0,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,2,NA,"",1,1,5,1,1,1,4,1,12,1,NA,NA,NA,NA,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,2,6,4,1,2,1,2,1,19,88,88,88,2,2,2,1,4,NA,NA,2,0,0,0,NA,1,1,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6",1,1.111235,1,2,6,3,275,15,0,"Angoche","gilda",5,2008-08-19,301118,301118,2,6012,6000,"",0,1,4,1,2,0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,"",2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,5,6,3,2,2,2,2,88,88,88,88,88,2,2,2,1,4,NA,NA,2,8,0,0,11,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,1,2,3,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1.066667,1.164646763952,1.233235585386,1,6,2,298,44,0,"Angoche","mariamo",1,2008-08-17,30106,30106,8,2044,2000,"",1,0,1,0,1,1,1,1,0,0,1,0,1,3,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,2,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,NA,0,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"",0,1,2,1,3,1,12,2,13,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,6,6,4,1,2,2,2,18,88,88,88,88,2,2,2,1,15,NA,NA,2,0,0,0,NA,1,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0,0,4,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"8",0.941176,1.04586771236,0.941176,2,6,3,303,9,0,"Angoche","gilda",5,2008-08-16,301115,301115,4,6006,6000,"",1,1,3,1,1,1,1,2,0,0,1,0,2,2,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,1,17,1,1,0,10,15,0,0,0,0,0,0,0,1,1,2,2,2,2,1,1,2,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,"",0,1,1,1,12,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,2,2,4,2,2,2,2,14,88,88,88,88,2,2,2,1,2,NA,NA,2,0,0,0,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,63,2,1,31,2,2,NA,NA,NA,4,3,4,3,2,3,2,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"9",1.066667,1.164646763952,1.233235585386,1,3,2,373,53,0,"Angoche","mariamo",1,2008-08-17,30106,30106,2,5052,5000,"NO 9,07 NÃO TEM OPÇÃO DE ESCOLHA",1,0,1,0,1,1,1,1,0,0,2,1,2,3,0,NA,NA,3,14,2,0,NA,NA,0,NA,NA,2,14,2,0,NA,NA,0,NA,NA,0,NA,NA,1,2,11,0,0,0,0,0,0,0,0,2,1,2,1,2,2,2,2,2,2,NA,0,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,"",0,NA,2,1,12,1,13,3,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,6,6,4,2,2,2,2,1,3,6,88,88,2,2,2,1,15,NA,NA,2,0,0,0,NA,1,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,0,4,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10",1.066667,1.164646763952,1.233235585386,1,6,2,408,36,0,"Angoche","mariamo",1,2008-08-17,30106,30106,4,2038,2000,"",1,1,2,0,1,1,1,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,22,2,2,NA,0,NA,"",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,"",0,1,2,1,3,1,4,1,12,3,13,1,NA,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,8,6,6,4,1,2,2,2,18,23,88,88,88,2,2,2,1,15,NA,NA,2,0,0,0,NA,1,1,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
