"","Community","Gender","Literacy","Community_Group","Year","Income_source","Food_source","Education_HH","Education_spouse","Cons_Intervention_gen","Devel_Intervention_gen","Fish_NTZ","FFS","CGRN_Miombo","CGRN_Mangrove","VSLA","Association_Alliance"
"1",NA,"Female",0,NA,2008,"Fruit",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"Female",0,NA,2008,"Subsist_crops",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Mecane (Oua)","Male",0,NA,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"4","Nanheua","Male",0,1,2008,"Informal_formal_business",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"5","Nacalela","Female",0,1,2008,"Subsist_crops",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,0
"6",NA,"Male",1,1,2008,NA,NA,"Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,NA,0
"7","Nauluco","Male",0,1,2008,"Monthly_pension",NA,"None","None",0,0,0,0,0,0,0,0
"8",NA,"Male",1,1,2008,"Formal_work",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"9","Nauluco","Male",0,1,2008,"Subsist_crops",NA,"None","None",0,0,0,0,0,0,0,0
"10","Nauluco","Male",1,1,2008,"Monthly_pension",NA,"Incomplete_primary","None",0,0,0,0,0,0,0,0
"11","Moebase","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"12","Iarupa","Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,0
"13",NA,"Male",0,1,2008,"Fish_sale_local",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,0
"14",NA,"Male",0,1,2008,"Informal_formal_business",NA,"Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,NA,0
"15",NA,"Male",1,1,2008,"Informal_work",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"16","Nambui","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,0
"17","Namame","Male",0,1,2008,NA,NA,"None",NA,0,1,0,1,0,0,1,0
"18",NA,"Male",1,1,2008,NA,NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"19",NA,"Male",1,1,2008,"Informal_formal_business",NA,"Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,NA,0
"20","Mtopa","Female",0,1,2008,"Subsist_crops",NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,1
"21","Naheco","Female",0,1,2008,"Subsist_crops",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,1
"22",NA,"Male",1,1,2008,"Fish_sale_external",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,0
"23",NA,"Male",1,1,2008,"Subsist_crops",NA,"Incomplete_secondary","None",NA,NA,NA,NA,NA,NA,NA,0
"24","Namige","Male",1,1,2008,"Informal_work",NA,"Incomplete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,1
"25",NA,"Male",1,1,2008,"Fish_sale_local",NA,"Incomplete_secondary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"26","Iarupa","Male",1,1,2008,"Fish_sale_external",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"27","Mtopa","Female",0,1,2008,"Subsist_crops",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,1
"28","Nauluco","Male",0,1,2008,"Informal_work",NA,"None","None",0,0,0,0,0,0,0,0
